Escuela_ID;Total_Alumnos_por_Escuela_ID;DESEMPEÑO;Total_Alumnos_por_Tipo_de_Desempeño;Desempeño_por_Escuela
2389;490;Avanzado;140;28.57
2389;490;Básico;115;23.47
2389;490;Crítico;64;13.06
2389;490;Medio;163;33.27
2565;546;Avanzado;129;23.63
2565;546;Básico;126;23.08
2565;546;Crítico;109;19.96
2565;546;Medio;177;32.42
2572;333;Avanzado;64;19.22
2572;333;Básico;77;23.12
2572;333;Crítico;80;24.02
2572;333;Medio;110;33.03
2586;161;Avanzado;55;34.16
2586;161;Básico;31;19.25
2586;161;Crítico;10;6.21
2586;161;Medio;60;37.27
2587;440;Avanzado;114;25.91
2587;440;Básico;78;17.73
2587;440;Crítico;64;14.55
2587;440;Medio;180;40.91
2590;280;Avanzado;70;25.0
2590;280;Básico;74;26.43
2590;280;Crítico;32;11.43
2590;280;Medio;96;34.29
2639;105;Avanzado;29;27.62
2639;105;Básico;17;16.19
2639;105;Crítico;17;16.19
2639;105;Medio;30;28.57
2648;57;Avanzado;14;24.56
2648;57;Básico;14;24.56
2648;57;Crítico;12;21.05
2648;57;Medio;12;21.05
2661;118;Avanzado;64;54.24
2661;118;Básico;19;16.1
2661;118;Crítico;6;5.08
2661;118;Medio;27;22.88
2662;84;Avanzado;26;30.95
2662;84;Básico;16;19.05
2662;84;Crítico;5;5.95
2662;84;Medio;36;42.86
2667;343;Avanzado;38;11.08
2667;343;Básico;84;24.49
2667;343;Crítico;70;20.41
2667;343;Medio;151;44.02
2669;102;Avanzado;35;34.31
2669;102;Básico;15;14.71
2669;102;Crítico;11;10.78
2669;102;Medio;40;39.22
2670;98;Avanzado;36;36.73
2670;98;Básico;9;9.18
2670;98;Crítico;3;3.06
2670;98;Medio;50;51.02
2675;588;Avanzado;70;11.9
2675;588;Básico;166;28.23
2675;588;Crítico;79;13.44
2675;588;Medio;271;46.09
2676;266;Avanzado;43;16.17
2676;266;Básico;65;24.44
2676;266;Crítico;30;11.28
2676;266;Medio;128;48.12
2677;319;Avanzado;26;8.15
2677;319;Básico;91;28.53
2677;319;Crítico;21;6.58
2677;319;Medio;181;56.74
2680;141;Avanzado;18;12.77
2680;141;Básico;31;21.99
2680;141;Crítico;13;9.22
2680;141;Medio;77;54.61
2681;272;Avanzado;170;62.5
2681;272;Básico;23;8.46
2681;272;Crítico;17;6.25
2681;272;Medio;62;22.79
2682;107;Avanzado;9;8.41
2682;107;Básico;38;35.51
2682;107;Crítico;29;27.1
2682;107;Medio;30;28.04
3187;223;Avanzado;39;17.49
3187;223;Básico;55;24.66
3187;223;Crítico;58;26.01
3187;223;Medio;67;30.04
3191;148;Avanzado;23;15.54
3191;148;Básico;40;27.03
3191;148;Crítico;35;23.65
3191;148;Medio;49;33.11
3206;313;Avanzado;98;31.31
3206;313;Básico;57;18.21
3206;313;Crítico;29;9.27
3206;313;Medio;113;36.1
3210;138;Avanzado;4;2.9
3210;138;Básico;47;34.06
3210;138;Crítico;57;41.3
3210;138;Medio;28;20.29
4394;131;Avanzado;12;9.16
4394;131;Básico;39;29.77
4394;131;Crítico;36;27.48
4394;131;Medio;42;32.06
4984;126;Avanzado;52;41.27
4984;126;Básico;17;13.49
4984;126;Crítico;7;5.56
4984;126;Medio;44;34.92
5087;47;Avanzado;4;8.51
5087;47;Básico;20;42.55
5087;47;Crítico;8;17.02
5087;47;Medio;15;31.91
5089;63;Avanzado;9;14.29
5089;63;Básico;13;20.63
5089;63;Crítico;6;9.52
5089;63;Medio;34;53.97
5111;129;Avanzado;14;10.85
5111;129;Básico;25;19.38
5111;129;Crítico;52;40.31
5111;129;Medio;37;28.68
