Escuela_ID;Total_Alumnos_por_Escuela_ID;DESEMPEÑO;Total_Alumnos_por_Tipo_de_Desempeño;Desempeño_por_Escuela
2361;592;Medio;212;35.81
2389;482;Avanzado;140;29.05
2389;482;Básico;115;23.86
2389;482;Crítico;64;13.28
2389;482;Medio;163;33.82
2565;541;Avanzado;129;23.84
2565;541;Básico;126;23.29
2565;541;Crítico;109;20.15
2565;541;Medio;177;32.72
2572;331;Avanzado;64;19.34
2572;331;Básico;77;23.26
2572;331;Crítico;80;24.17
2572;331;Medio;110;33.23
2586;156;Avanzado;55;35.26
2586;156;Básico;31;19.87
2586;156;Crítico;10;6.41
2586;156;Medio;60;38.46
2587;436;Avanzado;114;26.15
2587;436;Básico;78;17.89
2587;436;Crítico;64;14.68
2587;436;Medio;180;41.28
2590;272;Avanzado;70;25.74
2590;272;Básico;74;27.21
2590;272;Crítico;32;11.76
2590;272;Medio;96;35.29
2639;93;Avanzado;29;31.18
2639;93;Básico;17;18.28
2639;93;Crítico;17;18.28
2639;93;Medio;30;32.26
2648;52;Avanzado;14;26.92
2648;52;Básico;14;26.92
2648;52;Crítico;12;23.08
2648;52;Medio;12;23.08
2661;116;Avanzado;64;55.17
2661;116;Básico;19;16.38
2661;116;Crítico;6;5.17
2661;116;Medio;27;23.28
2662;83;Avanzado;26;31.33
2662;83;Básico;16;19.28
2662;83;Crítico;5;6.02
2662;83;Medio;36;43.37
2667;343;Avanzado;38;11.08
2667;343;Básico;84;24.49
2667;343;Crítico;70;20.41
2667;343;Medio;151;44.02
2669;101;Avanzado;35;34.65
2669;101;Básico;15;14.85
2669;101;Crítico;11;10.89
2669;101;Medio;40;39.6
2670;98;Avanzado;36;36.73
2670;98;Básico;9;9.18
2670;98;Crítico;3;3.06
2670;98;Medio;50;51.02
2675;586;Avanzado;70;11.95
2675;586;Básico;166;28.33
2675;586;Crítico;79;13.48
2675;586;Medio;271;46.25
2676;266;Avanzado;43;16.17
2676;266;Básico;65;24.44
2676;266;Crítico;30;11.28
2676;266;Medio;128;48.12
2677;319;Avanzado;26;8.15
2677;319;Básico;91;28.53
2677;319;Crítico;21;6.58
2677;319;Medio;181;56.74
2680;139;Avanzado;18;12.95
2680;139;Básico;31;22.3
2680;139;Crítico;13;9.35
2680;139;Medio;77;55.4
2681;272;Avanzado;170;62.5
2681;272;Básico;23;8.46
2681;272;Crítico;17;6.25
2681;272;Medio;62;22.79
2682;106;Avanzado;9;8.49
2682;106;Básico;38;35.85
2682;106;Crítico;29;27.36
2682;106;Medio;30;28.3
3187;219;Avanzado;39;17.81
3187;219;Básico;55;25.11
3187;219;Crítico;58;26.48
3187;219;Medio;67;30.59
3191;147;Avanzado;23;15.65
3191;147;Básico;40;27.21
3191;147;Crítico;35;23.81
3191;147;Medio;49;33.33
3206;297;Avanzado;98;33.0
3206;297;Básico;57;19.19
3206;297;Crítico;29;9.76
3206;297;Medio;113;38.05
3210;136;Avanzado;4;2.94
3210;136;Básico;47;34.56
3210;136;Crítico;57;41.91
3210;136;Medio;28;20.59
4394;129;Avanzado;12;9.3
4394;129;Básico;39;30.23
4394;129;Crítico;36;27.91
4394;129;Medio;42;32.56
4984;120;Avanzado;52;43.33
4984;120;Básico;17;14.17
4984;120;Crítico;7;5.83
4984;120;Medio;44;36.67
5087;47;Avanzado;4;8.51
5087;47;Básico;20;42.55
5087;47;Crítico;8;17.02
5087;47;Medio;15;31.91
5089;62;Avanzado;9;14.52
5089;62;Básico;13;20.97
5089;62;Crítico;6;9.68
5089;62;Medio;34;54.84
5111;128;Avanzado;14;10.94
5111;128;Básico;25;19.53
5111;128;Crítico;52;40.62
5111;128;Medio;37;28.91
