Escuela_ID;CURSO_NORMALIZADO;División;DESEMPEÑO;Alumno_ID
210;5°;B;Medio;8
210;5°;C;Avanzado;3
210;5°;C;Básico;1
210;5°;C;Crítico;7
210;5°;C;Medio;2
210;5°;D;Avanzado;5
210;5°;D;Básico;5
210;5°;D;Medio;3
210;6°;A;Avanzado;6
210;6°;A;Básico;6
210;6°;A;Crítico;1
210;6°;A;Medio;15
210;6°;B;Avanzado;6
210;6°;B;Básico;3
210;6°;B;Crítico;1
210;6°;B;Medio;2
210;6°;C;Avanzado;3
210;6°;C;Básico;1
210;6°;C;Crítico;4
210;6°;C;Medio;6
210;7°;A;Avanzado;3
210;7°;A;Básico;5
210;7°;A;Crítico;8
210;7°;A;Medio;10
210;7°;B;Avanzado;1
210;7°;B;Básico;4
210;7°;B;Crítico;18
210;7°;B;Medio;4
210;7°;C;Avanzado;1
210;7°;C;Básico;3
210;7°;C;Crítico;8
210;7°;C;Medio;9
250;2°;A;Avanzado;1
250;2°;A;Básico;11
250;2°;A;Crítico;11
250;2°;A;Medio;5
250;2°;B;Avanzado;2
250;2°;B;Básico;6
250;2°;B;Crítico;13
250;2°;B;Medio;4
250;3°;A;Avanzado;3
250;3°;A;Básico;7
250;3°;A;Crítico;6
250;3°;A;Medio;7
250;3°;B;Básico;10
250;3°;B;Crítico;6
250;3°;B;Medio;3
250;3°;C;Avanzado;5
250;3°;C;Básico;5
250;3°;C;Crítico;5
250;3°;C;Medio;3
250;4°;A;Avanzado;4
250;4°;A;Básico;10
250;4°;A;Crítico;1
250;4°;A;Medio;10
250;4°;B;Avanzado;4
250;4°;B;Básico;5
250;4°;B;Crítico;4
250;4°;B;Medio;8
250;5°;A;Básico;10
250;5°;A;Crítico;6
250;5°;A;Medio;10
250;5°;B;Avanzado;3
250;5°;B;Básico;2
250;5°;B;Crítico;3
250;5°;B;Medio;7
250;5°;C;Avanzado;2
250;5°;C;Básico;5
250;5°;C;Crítico;1
250;5°;C;Medio;8
250;6°;A;Avanzado;6
250;6°;A;Básico;5
250;6°;A;Medio;12
250;6°;B;Avanzado;10
250;6°;B;Básico;6
250;6°;B;Medio;7
250;6°;C;Avanzado;4
250;6°;C;Básico;6
250;6°;C;Crítico;1
250;6°;C;Medio;11
250;7°;A;Avanzado;6
250;7°;A;Básico;9
250;7°;A;Crítico;2
250;7°;A;Medio;11
250;7°;B;Avanzado;4
250;7°;B;Básico;5
250;7°;B;Medio;14
253;2°;A;Avanzado;3
253;2°;A;Básico;7
253;2°;A;Crítico;10
253;2°;A;Medio;5
253;2°;B;Avanzado;1
253;2°;B;Básico;5
253;2°;B;Crítico;19
253;2°;B;Medio;1
253;2°;C;Avanzado;1
253;2°;C;Básico;12
253;2°;C;Crítico;10
253;2°;C;Medio;2
253;3°;A;Avanzado;4
253;3°;A;Básico;10
253;3°;A;Crítico;3
253;3°;A;Medio;10
253;3°;B;Avanzado;3
253;3°;B;Básico;9
253;3°;B;Crítico;6
253;3°;B;Medio;4
253;3°;C;Avanzado;8
253;3°;C;Básico;6
253;3°;C;Crítico;7
253;3°;C;Medio;4
253;4°;A;Avanzado;10
253;4°;A;Básico;4
253;4°;A;Crítico;5
253;4°;A;Medio;9
253;4°;B;Avanzado;4
253;4°;B;Básico;7
253;4°;B;Crítico;4
253;4°;B;Medio;8
253;4°;C;Avanzado;5
253;4°;C;Básico;5
253;4°;C;Crítico;1
253;4°;C;Medio;9
253;4°;D;Avanzado;3
253;4°;D;Básico;8
253;4°;D;Crítico;3
253;4°;D;Medio;6
253;5°;A;Avanzado;3
253;5°;A;Básico;9
253;5°;A;Crítico;5
253;5°;A;Medio;9
253;5°;B;Avanzado;6
253;5°;B;Básico;3
253;5°;B;Crítico;10
253;5°;B;Medio;4
253;5°;C;Avanzado;1
253;5°;C;Básico;8
253;5°;C;Crítico;8
253;5°;C;Medio;3
253;6°;A;Avanzado;8
253;6°;A;Básico;8
253;6°;A;Crítico;1
253;6°;A;Medio;7
253;6°;B;Avanzado;6
253;6°;B;Básico;5
253;6°;B;Crítico;6
253;6°;B;Medio;8
253;6°;C;Avanzado;1
253;6°;C;Básico;9
253;6°;C;Crítico;5
253;6°;C;Medio;11
253;7°;A;Avanzado;11
253;7°;A;Básico;3
253;7°;A;Crítico;7
253;7°;A;Medio;8
253;7°;B;Avanzado;9
253;7°;B;Básico;3
253;7°;B;Crítico;5
253;7°;B;Medio;13
253;7°;C;Avanzado;3
253;7°;C;Básico;13
253;7°;C;Crítico;3
253;7°;C;Medio;6
288;4°;A;Básico;9
288;4°;A;Crítico;2
288;4°;A;Medio;4
288;5°;A;Crítico;10
288;6°;A;Avanzado;5
288;6°;A;Básico;6
288;6°;A;Crítico;3
288;6°;A;Medio;5
288;7°;A;Básico;3
288;7°;A;Crítico;10
288;7°;A;Medio;1
346;2°;A;Avanzado;2
346;2°;A;Básico;7
346;2°;A;Crítico;18
346;2°;A;Medio;2
346;2°;B;Avanzado;2
346;2°;B;Básico;7
346;2°;B;Crítico;16
346;2°;B;Medio;3
346;2°;C;Básico;4
346;2°;C;Crítico;21
346;2°;D;Básico;4
346;2°;D;Crítico;19
346;2°;D;Medio;2
346;3°;A;Avanzado;3
346;3°;A;Básico;10
346;3°;A;Crítico;10
346;3°;A;Medio;3
346;3°;B;Avanzado;9
346;3°;B;Básico;5
346;3°;B;Crítico;9
346;3°;B;Medio;5
346;3°;C;Avanzado;2
346;3°;C;Crítico;17
346;3°;C;Medio;4
346;3°;D;Avanzado;1
346;3°;D;Básico;9
346;3°;D;Crítico;12
346;3°;D;Medio;2
346;4°;A;Avanzado;4
346;4°;A;Básico;3
346;4°;A;Crítico;10
346;4°;A;Medio;6
346;4°;B;Avanzado;2
346;4°;B;Básico;6
346;4°;B;Crítico;7
346;4°;B;Medio;10
346;4°;C;Avanzado;4
346;4°;C;Básico;8
346;4°;C;Crítico;4
346;4°;C;Medio;9
346;4°;D;Avanzado;2
346;4°;D;Básico;5
346;4°;D;Crítico;9
346;4°;D;Medio;6
346;5°;A;Avanzado;1
346;5°;A;Básico;11
346;5°;A;Crítico;8
346;5°;A;Medio;6
346;5°;B;Avanzado;1
346;5°;B;Básico;5
346;5°;B;Crítico;12
346;5°;B;Medio;7
346;5°;C;Avanzado;1
346;5°;C;Básico;3
346;5°;C;Crítico;13
346;5°;C;Medio;5
346;5°;D;Avanzado;1
346;5°;D;Básico;6
346;5°;D;Crítico;7
346;5°;D;Medio;2
346;6°;A;Avanzado;7
346;6°;A;Básico;6
346;6°;A;Crítico;6
346;6°;A;Medio;7
346;6°;B;Avanzado;5
346;6°;B;Básico;3
346;6°;B;Crítico;4
346;6°;B;Medio;9
346;6°;C;Avanzado;2
346;6°;C;Básico;2
346;6°;C;Crítico;5
346;6°;C;Medio;12
346;6°;D;Avanzado;2
346;6°;D;Básico;7
346;6°;D;Crítico;7
346;6°;D;Medio;6
346;7°;A;Avanzado;3
346;7°;A;Básico;12
346;7°;A;Crítico;7
346;7°;A;Medio;6
346;7°;B;Avanzado;1
346;7°;B;Básico;8
346;7°;B;Crítico;11
346;7°;B;Medio;9
346;7°;C;Avanzado;1
346;7°;C;Básico;10
346;7°;C;Crítico;6
346;7°;C;Medio;6
346;7°;D;Básico;8
346;7°;D;Crítico;7
346;7°;D;Medio;9
378;3°;A;Avanzado;4
378;3°;A;Básico;8
378;3°;A;Crítico;12
378;3°;A;Medio;3
378;3°;B;Avanzado;3
378;3°;B;Básico;4
378;3°;B;Crítico;18
378;3°;B;Medio;3
378;3°;C;Básico;4
378;3°;C;Crítico;15
378;3°;C;Medio;5
378;3°;D;Avanzado;1
378;3°;D;Básico;4
378;3°;D;Crítico;12
378;3°;D;Medio;9
378;6°;A;Avanzado;3
378;6°;A;Básico;13
378;6°;A;Crítico;2
378;6°;A;Medio;7
378;6°;B;Avanzado;5
378;6°;B;Básico;3
378;6°;B;Crítico;4
378;6°;B;Medio;13
378;6°;C;Avanzado;3
378;6°;C;Básico;7
378;6°;C;Crítico;3
378;6°;C;Medio;8
378;6°;D;Avanzado;6
378;6°;D;Básico;4
378;6°;D;Crítico;3
378;6°;D;Medio;10
384;2°;A;Avanzado;1
384;2°;A;Básico;4
384;2°;A;Crítico;7
384;2°;A;Medio;2
384;2°;B;Básico;5
384;2°;B;Crítico;15
384;2°;B;Medio;3
384;2°;C;Básico;3
384;2°;C;Crítico;14
384;3°;A;Avanzado;6
384;3°;A;Básico;9
384;3°;A;Crítico;9
384;3°;A;Medio;3
384;3°;B;Avanzado;5
384;3°;B;Básico;6
384;3°;B;Crítico;4
384;3°;B;Medio;5
384;3°;C;Avanzado;2
384;3°;C;Básico;8
384;3°;C;Crítico;9
384;3°;C;Medio;3
384;4°; D;Avanzado;3
384;4°; D;Básico;6
384;4°; D;Crítico;3
384;4°; D;Medio;3
384;4°;A;Básico;11
384;4°;A;Crítico;6
384;4°;A;Medio;5
384;4°;B;Avanzado;6
384;4°;B;Básico;4
384;4°;B;Crítico;4
384;4°;B;Medio;6
384;4°;C;Avanzado;2
384;4°;C;Básico;3
384;4°;C;Crítico;7
384;4°;C;Medio;7
384;5°;A;Avanzado;4
384;5°;A;Básico;9
384;5°;A;Crítico;5
384;5°;A;Medio;10
384;5°;B;Avanzado;2
384;5°;B;Básico;6
384;5°;B;Crítico;10
384;5°;B;Medio;6
384;5°;C;Avanzado;1
384;5°;C;Básico;12
384;5°;C;Crítico;6
384;5°;C;Medio;3
384;6°;A;Avanzado;9
384;6°;A;Básico;3
384;6°;A;Crítico;4
384;6°;A;Medio;13
384;6°;B;Avanzado;9
384;6°;B;Básico;1
384;6°;B;Crítico;2
384;6°;B;Medio;13
384;6°;C;Avanzado;5
384;6°;C;Básico;9
384;6°;C;Crítico;2
384;6°;C;Medio;13
384;7°;A;Avanzado;4
384;7°;A;Básico;5
384;7°;A;Crítico;3
384;7°;A;Medio;13
384;7°;B;Avanzado;8
384;7°;B;Básico;2
384;7°;B;Crítico;6
384;7°;B;Medio;12
384;7°;C;Avanzado;7
384;7°;C;Básico;4
384;7°;C;Crítico;6
384;7°;C;Medio;9
392;2°;A;Básico;1
392;2°;A;Crítico;28
392;2°;A;Medio;1
392;2°;B;Básico;6
392;2°;B;Crítico;17
392;2°;B;Medio;2
392;2°;C;Básico;3
392;2°;C;Crítico;16
392;2°;C;Medio;9
392;3°;A;Avanzado;9
392;3°;A;Básico;8
392;3°;A;Crítico;7
392;3°;A;Medio;9
392;3°;B;Avanzado;5
392;3°;B;Básico;14
